n-gram	liczność
VALE	10
ALEN	10
LENT	10
ENTI	10
NTIN	10
TINE	10
INES	8
NESD	8
ESDA	8
SDAY	8
ALLY	5
HOLI	4
OLID	4
LIDA	4
IDAY	4
SIGN	4
COMP	4
OTHE	4
TION	4
DAYA	4
TVAL	3
IGNI	3
GNIF	3
NIFI	3
ROMA	3
OMAN	3
WITH	3
ITHT	3
THTH	3
ICAN	3
OUGH	3
THEH	3
HEHO	3
EHOL	3
THEI	3
HEIR	3
THER	3
OBET	3
BETH	3
SAND	3
CELE	3
ELEB	3
LEBR	3
EBRA	3
BRAT	3
ATIO	3
TING	3
SAIN	2
AINT	2
THAT	2
ATIN	2
ATES	2
YAND	2
ICAL	2
CALL	2
LLYS	2
STHE	2
EACC	2
ACCO	2
CCOM	2
MENT	2
ENTS	2
NTSO	2
TSOF	2
STVA	2
MOST	2
AMER	2
MERI	2
ERIC	2
RICA	2
SINS	2
INST	2
NSTE	2
STEA	2
TEAD	2
EADO	2
ADOF	2
RING	2
ETHR	2
THRO	2
HROU	2
ROUG	2
YTHE	2
MANT	2
ANTI	2
NTIC	2
HTHE	2
EIRS	2
IRSI	2
RSIG	2
IFIC	2
FICA	2
CANT	2
ANTO	2
NTOT	2
TOTH	2
ORSO	2
THEY	2
TOBE	2
ETHE	2
GIFT	2
IFTS	2
ERSA	2
ANDO	2
ACKN	2
CKNO	2
KNOW	2
NOWL	2
OWLE	2
WLED	2
LEDG	2
EDGE	2
INDI	2
NDIV	2
DIVI	2
IVID	2
VIDU	2
IDUA	2
DUAL	2
UALS	2
RATI	2
IONS	2
SARE	2
AREC	2
RECO	2
OMPA	2
MPAN	2
ANYI	2
NYIN	2
GREE	2
REET	2
EETI	2
ETIN	2
INGC	2
NGCA	2
GCAR	2
CARD	2
LLYR	2
LYRE	2
ERAL	2
RALL	2
SOFV	2
OFVA	2
FVAL	2
DAYO	1
AYOR	1
YORS	1
ORSA	1
RSAI	1
INTV	1
NTVA	1
DAYI	1
AYIS	1
YISA	1
ISAH	1
SAHO	1
AHOL	1
DAYT	1
AYTH	1
YTHA	1
HATI	1
TINT	1
INTH	1
NTHE	1
THEU	1
HEUN	1
EUNI	1
UNIT	1
NITE	1
ITED	1
TEDS	1
EDST	1
DSTA	1
STAT	1
TATE	1
TEST	1
ESTA	1
STAK	1
TAKE	1
AKES	1
KESP	1
ESPL	1
SPLA	1
PLAC	1
LACE	1
ACEO	1
CEON	1
EONF	1
ONFE	1
NFEB	1
FEBR	1
EBRU	1
BRUA	1
RUAR	1
UARY	1
ARYA	1
RYAN	1
ANDT	1
NDTE	1
DTEC	1
TECH	1
ECHN	1
CHNI	1
HNIC	1
NICA	1
LYSI	1
YSIG	1
IFIE	1
FIES	1
IEST	1
ESTH	1
THEA	1
HEAC	1
OMPL	1
MPLI	1
PLIS	1
LISH	1
ISHM	1
SHME	1
HMEN	1
