n-gram	liczność
THE	17
TIN	15
ENT	13
NTI	12
DAY	12
VAL	10
ALE	10
LEN	10
INE	10
NES	8
ESD	8
SDA	8
ING	7
AND	6
ICA	6
ATI	5
ALL	5
LLY	5
COM	5
ANT	5
HOL	4
OLI	4
LID	4
IDA	4
EBR	4
SIG	4
IGN	4
GNI	4
OMP	4
SOF	4
MAN	4
ETH	4
OTH	4
ERS	4
SAN	4
TIO	4
ION	4
ELE	4
ARE	4
AYA	4
ORS	3
RSA	3
SAI	3
INT	3
TVA	3
YTH	3
TED	3
STA	3
ATE	3
NIF	3
IFI	3
ROM	3
OMA	3
WIT	3
ITH	3
THT	3
HTH	3
CAN	3
RIN	3
OUG	3
UGH	3
HEH	3
EHO	3
HEI	3
EIR	3
HER	3
OBE	3
BET	3
ERA	3
UAL	3
CEL	3
LEB	3
BRA	3
RAT	3
REC	3
ECO	3
AIN	2
THA	2
HAT	2
TES	2
EST	2
EON	2
YAN	2
NDT	2
CAL	2
LYS	2
IES	2
STH	2
EAC	2
ACC	2
CCO	2
ISH	2
MEN	2
NTS	2
TSO	2
STV	2
ATH	2
RDC	2
ANS	2
NSA	2
MOS	2
OST	2
AME	2
MER	2
ERI	2
RIC	2
SIN	2
INS	2
NST	2
STE	2
TEA	2
EAD	2
ADO	2
DOF	2
ORI	2
THR	2
HRO	2
ROU	2
REL	2
EMO	2
MON	2
YEN	2
GIN	2
TIC	2
IRS	2
RSI	2
FIC	2
NTO	2
TOT	2
RSO	2
MEO	2
NEW	2
HEY	2
YWI	2
TOB	2
GIF	2
IFT	2
FTS	2
SPE	2
NER	2
NDO	2
ACK	2
CKN	2
KNO	2
NOW	2
OWL	2
WLE	2
LED	2
EDG	2
DGE	2
IND	2
NDI	2
DIV	2
IVI	2
VID	2
IDU	2
DUA	2
ALS	2
SVA	2
ONS	2
COL	2
LAT	2
SAR	2
MPA	2
PAN	2
ANY	2
NYI	2
YIN	2
GRE	2
REE	2
EET	2
ETI	2
NGC	2
GCA	2
CAR	2
ARD	2
SGR	2
ENE	2
LYR	2
YRE	2
EDA	2
RAL	2
DER	2
OFV	2
FVA	2
END	2
ARI	2
HOU	2
AYO	1
YOR	1
NTV	1
AYI	1
YIS	1
ISA	1
SAH	1
AHO	1
AYT	1
NTH	1
HEU	1
